Altium Designer Pick and Place Locations
C:\_github\tank-monitoring\altium\ultrasonic_tank_monitor\Project Outputs for ultrasonic_tank_monitor\Pick Place for ultrasonic_tank_monitor.csv

========================================================================================================================
File Design Information:

Date:       09/12/23
Time:       12:09
Revision:   6bf835e52abfe3a0263895c6cd0d06488fd6463b
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U6","TP5000-ESOP8","TopLayer","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","42.6720","16.5100","270","1 cell Li-ion / LIFEPO4 cell charger switchmode"
"L1","4.7uH","TopLayer","IND-SMD_L5.2-W5.2_YSPI0530","34.5440","16.7640","270","2.2uH 1.5A Power Inductor 3x3"
"D11","SS34-HF","TopLayer","DO214AC_SMA","33.2740","24.6380","270","DIODE SCHOTTKY 40V 3A DO214AC"
"C13","10 µF","TopLayer","CAP_0603_1608","42.6720","9.9060","180","CAP CER 10UF 10V X5R 0603"
"J7","HDR-TH_8P-P2.54","TopLayer","HDR-TH_8P-P2.54-V-M","65.0240","40.3860","180",""
"J6","HDR-TH_8P-P2.54","TopLayer","HDR-TH_8P-P2.54-V-M","64.7700","66.5480","180",""
"U5","TPS2116DRLR","TopLayer","SOT-583-8_L2.1-W1.6-P0.50-LS1.6-BL","35.8140","41.9100","270","2 IN 1 OUT Power MUX 1.6-5.5V 2.5A low-IQ"
"U4","AP22818AKBWT-7","TopLayer","SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","42.1640","63.6270","180","High active 2A load distribution switch"
"R23","10 kOhms","TopLayer","RES_0603_1608","39.2580","43.1800","0","RES SMD 10K OHM 5% 1/10W 0603"
"R22","33 kOhms","TopLayer","RES_0603_1608","37.1960","39.1160","180","RES 33K OHM 1% 1/10W 0603"
"R21","3.6 kOhms","TopLayer","RES_0603_1608","33.9240","39.1160","180","RES SMD 3.6K OHM 1% 1/10W 0603"
"R18","10 kOhms","TopLayer","RES_0603_1608","63.5000","36.8300","270","RES SMD 10K OHM 5% 1/10W 0603"
"R17","0 Ohms","TopLayer","RES_1206_3216","38.3540","63.6270","90","RES SMD 0 OHM 3/4W 1206 WIDE"
"D10","SS34-HF","TopLayer","DO214AC_SMA","39.6240","47.7520","180","DIODE SCHOTTKY 40V 3A DO214AC"
"D9","SS34-HF","TopLayer","DO214AC_SMA","31.7500","47.7520","0","DIODE SCHOTTKY 40V 3A DO214AC"
"C12","1 µF","TopLayer","CAP_0603_1608","42.6720","11.6840","180","CAP CER 1UF 10V X7R 0603"
"C11","1 µF","TopLayer","CAP_0603_1608","32.5120","42.1640","270","CAP CER 1UF 10V X7R 0603"
"R14","1 kOhms","TopLayer","RES_0603_1608","52.3240","2.9210","90","RES 1K OHM 5% 1/4W 0603"
"R13","200 mOhms","TopLayer","RES_1206_3216","37.8460","11.6840","0","RES 0.2 OHM 1% 1/2W 1206"
"D8","Green","TopLayer","LED_0805_2012_GREEN","46.7360","2.7600","270","LED GREEN 0805 SMD"
"D7","Red","TopLayer","LED_0805_2012_RED","49.7840","2.7940","270","LED RED 0805 SMD"
"C10","10 µF","TopLayer","CAP_0603_1608","39.2830","41.4020","180","CAP CER 10UF 10V X5R 0603"
"C9","10 µF","TopLayer","CAP_0603_1608","48.5140","19.3040","270","CAP CER 10UF 10V X5R 0603"
"U3","SKCL3130ME","TopLayer","SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR","30.9880","5.5880","180","1 cell battery protection IC Li-ion OC OV UV SOT 23-5"
"U2","AP7361C-33Y5-13","TopLayer","SOT-223_L6.5-W3.5-P2.30-LS7.0-BR","33.2740","54.3560","0","3V3 LDO low drop out and low Iq"
"R12","0 Ohms","TopLayer","RES_1206_3216","30.9880","8.8900","180","RES SMD 0 OHM 3/4W 1206 WIDE"
"R11","100 Ohms","TopLayer","RES_0603_1608","29.9720","2.5400","270","RES 100 OHM 5% 1/10W 0603"
"R10","0 Ohms","TopLayer","RES_0603_1608","72.6440","73.8020","270","RES SMD 0.0 JUMPER 1/10W 0603"
"R9","2 kOhms","TopLayer","RES_0603_1608","75.5600","16.7640","180","RES 2K OHM 5% 1/10W 0603"
"Q1","SI2301-ZE","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","57.1500","12.7000","90","P-CHAN Mosfet SI2301"
"J9","S2B-PH-K-S","TopLayer","CONN-TH_S2B-PH-K-S-LF-SN","5.0960","8.1280","0","2 Pin JST PH 2.0 Connector RA"
"D6","SS34-HF","TopLayer","DO214AC_SMA","58.4200","16.5100","180","DIODE SCHOTTKY 40V 3A DO214AC"
"D5","Red","TopLayer","LED_0805_2012_RED","78.2320","18.0340","90","LED RED 0805 SMD"
"C8","1 µF","TopLayer","CAP_0603_1608","27.4320","5.5010","90","CAP CER 1UF 10V X7R 0603"
"C7","4.7 µF","TopLayer","CAP_0603_1608","38.8620","55.4590","90","CAP CER 4.7UF 16V X7R 0603"
"C6","4.7 µF","TopLayer","CAP_0603_1608","38.8620","52.0700","270","CAP CER 4.7UF 16V X7R 0603"
"R8","10 kOhms","TopLayer","RES_0603_1608","66.2940","36.8300","270","RES SMD 10K OHM 5% 1/10W 0603"
"R7","4.7 kOhms","TopLayer","RES_0603_1608","56.2610","77.7240","0","RES 4.7K OHM 1% 1/10W 0603"
"J8","I2C","TopLayer","HDR-TH_4P-P2.54-V-M","70.3580","32.0040","0",""
"C5","0.1 µF","TopLayer","CAP_0603_1608","70.2710","71.3740","0","CAP CER 0.1UF 10V X7R 0603"
"J5","TYPE-C 16PLC-H10.0","TopLayer","TYPE-C-TH_16PLC-H10.0","71.8019","23.9380","180",""
